id_jogo_cbf,data_jogo,time_mandante,time_visitante,estadio,competicao,publico_pagante,publico_nao_pagante,publico_total,receita_bruta_total,despesa_total,resultado_liquido,caminho_pdf_local,data_processamento,status,log_erro
14210b_2025,2025-03-29,Juventude,Vitória,Alfredo Jaconi,Campeonato Brasileiro Série A,6547,0,6547,220000.0,99352.77,120647.23,pdfs\14210b_2025.pdf,2025-05-03,Sucesso,
14211b_2025,2025-04-06,Fluminense,Red Bull Bragantino,Maracanã,Campeonato Brasileiro Série A,19729,938,20667,866231.5,1093955.18,-227723.68,pdfs\14211b_2025.pdf,2025-05-03,Sucesso,
14212b_2025,2025-04-05,Botafogo-RJ,Juventude,Nilton Santos,Campeonato Brasileiro Série A,10030,970,11000,555450.0,735193.61,-179743.61,pdfs\14212b_2025.pdf,2025-05-03,Sucesso,
14213b_2025,2025-05-04,Corinthians,Vasco da Gama,Neo Química Arena,Campeonato Brasileiro Série A,42969,0,42969,2958819.7,1121464.67,1837355.03,pdfs\14213b_2025.pdf,2025-05-03,Sucesso,
14214b_2025,2025-04-06,Santos,Bahia,Urbano Caldeira,Campeonato Brasileiro Série A,8796,0,8796,499201.25,375672.65,123528.6,pdfs\14214b_2025.pdf,2025-05-03,Sucesso,
14215b_2025,2025-04-06,Mirassol,Fortaleza,José Maria de Campos Maia,Campeonato Brasileiro Série A,4354,0,4354,113360.0,129300.6,-15940.6,pdfs\14215b_2025.pdf,2025-05-03,Sucesso,
14216b_2025,2025-04-06,Atlético Mineiro,São Paulo,Mineirão,Campeonato Brasileiro Série A,28415,248,28663,1507606.5,898650.34,608956.16,pdfs\14216b_2025.pdf,2025-05-03,Sucesso,
14217b_2025,2025-06-04,Internacional,Cruzeiro,Beira-Rio,Campeonato Brasileiro Série A,32310,0,32310,1628212.0,400022.45,1228189.55,pdfs\14217b_2025.pdf,2025-05-03,Sucesso,
14218b_2025,2025-06-04,Vitória,Flamengo,Manoel Barradas,Campeonato Brasileiro Série A,29387,0,29387,1117870.0,591660.52,526209.48,pdfs\14218b_2025.pdf,2025-05-03,Sucesso,
14219b_2025,2025-05-04,Ceará,Grêmio,Arena Castelão,Campeonato Brasileiro Série A,26777,70,26847,472985.0,344598.07,128386.93,pdfs\14219b_2025.pdf,2025-05-03,Sucesso,
14220b_2025,2025-04-06,Sport Recife,Palmeiras,Ilha do Retiro,Campeonato Brasileiro Série A,26324,1101,27425,1577490.0,551624.85,1025865.15,pdfs\14220b_2025.pdf,2025-05-03,Sucesso,
14221b_2025,2025-04-13,Fluminense,Santos,Maracanã,Campeonato Brasileiro Série A,46172,1345,47517,2031750.0,1272903.18,732287.18,pdfs\14221b_2025.pdf,2025-05-03,Sucesso,
14222b_2025,2025-04-12,Vasco da Gama,Sport Recife,São Januário,Campeonato Brasileiro Série A,15969,660,16629,1091256.0,720836.34,370419.66,pdfs\14222b_2025.pdf,2025-05-03,Sucesso,
14223b_2025,2025-04-12,Palmeiras,Corinthians,Arena Barueri,Campeonato Brasileiro Série A,19297,0,19297,1172275.0,524173.35,648101.65,pdfs\14223b_2025.pdf,2025-05-03,Sucesso,
14224b_2025,2025-04-13,São Paulo,Cruzeiro,Morumbi,Campeonato Brasileiro Série A,37566,0,37566,1834528.0,693773.63,1140754.37,pdfs\14224b_2025.pdf,2025-05-03,Sucesso,
