id_jogo_cbf,data_jogo,time_mandante,time_visitante,estadio,competicao,publico_pagante,publico_nao_pagante,publico_total,receita_bruta_total,despesa_total,resultado_liquido,caminho_pdf_local,data_processamento,status,log_erro
142301b_2024,2024-10-26,Grêmio,Atlético Goianiense,Arena do Grêmio,Campeonato Brasileiro Série A,36754,1676,38430,2126730.0,528830.28,1597899.72,pdfs\142301b_2024.pdf,2025-05-05,Sucesso,
142302b_2024,2024-10-26,Atlético Mineiro,Internacional,Arena MRV,Campeonato Brasileiro Série A,27028,492,27520,1172923.75,524915.78,648007.97,pdfs\142302b_2024.pdf,2025-05-05,Sucesso,
142303b_2024,2024-10-26,Vitória,Fluminense,Manoel Barradas,Campeonato Brasileiro Série A,29186,0,29186,930833.0,471598.07,459234.93,pdfs\142303b_2024.pdf,2025-05-05,Sucesso,
142304b_2024,2024-10-26,Flamengo,Juventude,Maracanã,Campeonato Brasileiro Série A,60286,1692,62129,3056412.5,1836236.35,1177469.99,pdfs\142304b_2024.pdf,2025-05-05,Sucesso,
142305b_2024,2024-10-28,Vasco da Gama,Bahia,São Januário,Campeonato Brasileiro Série A,17213,264,17477,867875.0,659338.7,208536.3,pdfs\142305b_2024.pdf,2025-05-05,Sucesso,
142306b_2024,2024-10-26,Palmeiras,Fortaleza,Arena Allianz Parque,Campeonato Brasileiro Série A,40321,0,40321,3068823.21,1014084.79,2054738.42,pdfs\142306b_2024.pdf,2025-05-05,Sucesso,
142307b_2024,2024-10-26,Red Bull Bragantino,Botafogo-RJ,Nabi Abi Chedid,Campeonato Brasileiro Série A,7303,0,7303,338225.0,192950.98,145274.02,pdfs\142307b_2024.pdf,2025-05-05,Sucesso,
142308b_2024,2024-10-26,Athletico Paranaense,Cruzeiro,Ligga Arena,Campeonato Brasileiro Série A,35552,0,35552,936230.0,189603.83,746626.17,pdfs\142308b_2024.pdf,2025-05-05,Sucesso,
142309b_2024,2024-10-28,Cuiabá,Corinthians,Arena Pantanal,Campeonato Brasileiro Série A,16685,0,16685,1820330.0,376742.9,1443587.1,pdfs\142309b_2024.pdf,2025-05-05,Sucesso,
14230b_2024,2024-07-24,Criciúma,Fortaleza,Heriberto Hülse,Campeonato Brasileiro Série A,13625,0,13625,517460.0,612146.32,-94686.32,pdfs\14230b_2024.pdf,2025-05-05,Sucesso,
142310b_2024,2024-10-26,Criciúma,São Paulo,Heriberto Hülse,Campeonato Brasileiro Série A,17422,0,17422,859900.0,810190.21,49709.79,pdfs\142310b_2024.pdf,2025-05-05,Sucesso,
142311b_2024,2024-05-11,Internacional,Criciúma,Beira-Rio,Campeonato Brasileiro Série A,29097,0,29097,1404888.0,359950.57,1044937.43,pdfs\142311b_2024.pdf,2025-05-05,Sucesso,
142312b_2024,2024-11-06,Cruzeiro,Flamengo,Independência,Campeonato Brasileiro Série A,20855,353,21208,1104983.0,366817.11,738165.89,pdfs\142312b_2024.pdf,2025-05-05,Sucesso,
142313b_2024,2024-11-05,Bahia,São Paulo,Arena Fonte Nova,Campeonato Brasileiro Série A,29599,0,29599,1037672.32,828012.17,209660.15,pdfs\142313b_2024.pdf,2025-05-05,Sucesso,
142314b_2024,2024-11-01,Fluminense,Grêmio,Maracanã,Campeonato Brasileiro Série A,35278,1298,36576,1159512.0,1276937.38,-117425.38,pdfs\142314b_2024.pdf,2025-05-05,Sucesso,
142315b_2024,2024-11-05,Botafogo-RJ,Vasco da Gama,Nilton Santos,Campeonato Brasileiro Série A,32007,3250,35257,2351620.0,1819846.84,531773.16,pdfs\142315b_2024.pdf,2025-05-05,Sucesso,
142316b_2024,2024-11-04,Corinthians,Palmeiras,Neo Química Arena,Campeonato Brasileiro Série A,46085,0,46085,2514796.0,972845.82,1541950.18,pdfs\142316b_2024.pdf,2025-05-05,Sucesso,
142317b_2024,2024-11-02,Red Bull Bragantino,Cuiabá,Nabi Abi Chedid,Campeonato Brasileiro Série A,4045,0,4045,128645.0,159702.87,-31057.87,pdfs\142317b_2024.pdf,2025-05-05,Sucesso,
142318b_2024,2024-11-02,Athletico Paranaense,Vitória,Ligga Arena,Campeonato Brasileiro Série A,40047,0,40047,1010350.0,209309.29,801040.71,pdfs\142318b_2024.pdf,2025-05-05,Sucesso,
142319b_2024,2024-11-06,Atlético Goianiense,Atlético Mineiro,Antônio Accioly,Campeonato Brasileiro Série A,3257,534,3791,81935.0,67576.2,14358.8,pdfs\142319b_2024.pdf,2025-05-05,Sucesso,
14231b_2024,2024-04-28,Internacional,Atlético Goianiense,Beira-Rio,Campeonato Brasileiro Série A,28468,0,28468,1233234.5,381258.73,851975.77,pdfs\14231b_2024.pdf,2025-05-05,Sucesso,
142320b_2024,2024-11-02,Juventude,Fortaleza,Alfredo Jaconi,Campeonato Brasileiro Série A,7419,0,7419,257170.0,103524.05,153645.95,pdfs\142320b_2024.pdf,2025-05-05,Sucesso,
142321b_2024,2024-11-08,Internacional,Fluminense,Beira-Rio,Campeonato Brasileiro Série A,37550,0,37550,1884157.0,394228.76,1489928.24,pdfs\142321b_2024.pdf,2025-05-05,Sucesso,
142322b_2024,2024-11-09,Cruzeiro,Criciúma,Mineirão,Campeonato Brasileiro Série A,29287,129,29416,1097214.0,619165.73,478048.27,pdfs\142322b_2024.pdf,2025-05-05,Sucesso,
142323b_2024,2024-11-09,Vitória,Corinthians,Manoel Barradas,Campeonato Brasileiro Série A,30548,0,30548,1020837.0,491800.2,529036.8,pdfs\142323b_2024.pdf,2025-05-05,Sucesso,
142324b_2024,2024-11-13,Flamengo,Atlético Mineiro,Maracanã,Campeonato Brasileiro Série A,63441,1876,65317,3232610.0,1966074.48,1222206.77,pdfs\142324b_2024.pdf,2025-05-05,Sucesso,
142325b_2024,2024-11-09,Cuiabá,Botafogo-RJ,Nilton Santos,Campeonato Brasileiro Série A,41899,6971,48870,2949695.0,1925680.46,1024014.54,pdfs\142325b_2024.pdf,2025-05-05,Sucesso,
142326b_2024,2024-11-08,Palmeiras,Grêmio,Arena Allianz Parque,Campeonato Brasileiro Série A,33670,0,33670,2654209.69,880991.17,1773218.52,pdfs\142326b_2024.pdf,2025-05-05,Sucesso,
142327b_2024,2024-11-09,São Paulo,Athletico Paranaense,Morumbi,Campeonato Brasileiro Série A,34777,0,34777,2015341.0,766585.89,1248755.11,pdfs\142327b_2024.pdf,2025-05-05,Sucesso,
